Country or Region,Happiness Rank,Happiness Score,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Trust,Generosity,Latitude,Longitude
Finland,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,61.9241,25.7482
Denmark,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,56.2639,9.50179
Norway,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,60.472,8.46895
Iceland,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,64.9631,-19.021
Netherlands,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322,52.1326,5.29127
Switzerland,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263,46.8182,8.22751
Sweden,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267,60.1282,18.6435
New Zealand,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33,-40.901,174.886
Canada,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,56.1304,-106.35
Austria,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,47.5162,14.5501
Australia,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,-25.274,133.775
Costa Rica,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,9.74892,-83.753
Israel,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261,31.0461,34.8516
Luxembourg,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194,49.8153,6.12958
United Kingdom,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348,55.3781,-3.436
Ireland,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298,53.4129,-8.2439
Germany,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,51.1657,10.4515
Belgium,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,50.5039,4.46994
United States,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28,37.0902,-95.713
Czech Republic,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046,49.8175,15.473
United Arab Emirates,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262,23.4241,53.8478
Malta,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375,35.9375,14.3754
Mexico,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074,23.6345,-102.55
France,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,46.2276,2.21375
Taiwan,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242,23.6978,120.961
Chile,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,-35.675,-71.543
Guatemala,27,6.436,0.8,1.269,0.746,0.535,0.078,0.175,15.7835,-90.231
Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08,23.8859,45.0792
Qatar,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22,25.3548,51.1839
Spain,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153,40.4637,-3.7492
Panama,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109,8.53798,-80.782
Brazil,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,-14.235,-51.925
Uruguay,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127,-32.523,-55.766
Singapore,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271,1.35208,103.82
El Salvador,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,13.7942,-88.897
Italy,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158,41.8719,12.5674
Bahrain,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,25.9304,50.6378
Slovakia,38,6.198,1.246,1.504,0.881,0.334,0.014,0.121,48.669,19.699
Trinidad & Tobago,39,6.192,1.231,1.477,0.713,0.489,0.016,0.185,10.6918,61.2225
Poland,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117,51.9194,19.1451
Uzbekistan,41,6.174,0.745,1.529,0.756,0.631,0.24,0.322,41.3775,64.5853
Lithuania,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043,55.1694,23.8813
Colombia,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,4.57087,-74.297
Slovenia,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144,46.1512,14.9955
Nicaragua,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2,12.8654,-85.207
Kosovo,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262,42.6026,20.903
Argentina,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,-38.416,-63.617
Romania,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083,45.9432,24.9668
Cyprus,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,35.1264,33.4299
Ecuador,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,-1.8312,-78.183
Kuwait,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142,29.3117,47.4818
Thailand,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359,15.87,100.993
Latvia,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075,56.8796,24.6032
South Korea,54,5.895,1.301,1.219,1.036,0.159,0.056,0.175,35.9078,127.767
Estonia,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,58.5953,25.0136
Jamaica,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,18.1096,-77.298
Mauritius,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215,-20.348,57.5522
Japan,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069,36.2048,138.253
Honduras,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,15.2,-86.242
Kazakhstan,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146,48.0196,66.9237
